Titulo1=  Dados detalhados das AIH - por local internação - Brasil
Titulo2=Quantidade aprovada por Grupo procedimento segundo Município
Rodape=Período:Set/2023
Nomemapa=c:\tabwin\br_municip.map
"Município";"01 Ações de promoção e prevenção em saúde";"02 Procedimentos com finalidade diagnóstica";"03 Procedimentos clínicos";"04 Procedimentos cirúrgicos";"05 Transplantes de orgãos, tecidos e células";"06 Medicamentos";"07 Órteses, próteses e materiais especiais";"08 Ações complementares da atenção à saúde";"Total"
"421830 TRES BARRAS";0;1573;852;119;0;1;2;637;3184
"421835 TREVISO";0;0;0;0;0;0;0;0;0
"421840 TREZE DE MAIO";0;483;369;51;0;0;7;75;985
"421850 TREZE TILIAS";0;0;0;0;0;0;0;0;0
"421860 TROMBUDO CENTRAL";0;2176;2303;0;0;0;0;0;4479
"421870 TUBARAO";0;41820;18432;971;0;309;747;5630;67909
"421875 TUNAPOLIS";0;0;882;24;0;0;9;122;1037
"421880 TURVO";0;25;36;2;0;0;0;0;63
"421885 UNIAO DO OESTE";0;0;0;0;0;0;0;0;0
"421890 URUBICI";0;37;149;47;0;0;0;44;277
"421895 URUPEMA";0;0;0;0;0;0;0;0;0
"421900 URUSSANGA";0;154;676;108;0;0;26;398;1362
"421910 VARGEAO";0;53;16;30;0;0;3;36;138
"421915 VARGEM";0;0;0;0;0;0;0;0;0
"421917 VARGEM BONITA";0;0;0;0;0;0;0;0;0
"421920 VIDAL RAMOS";0;23;4;0;0;0;0;0;27
"421930 VIDEIRA";0;5655;4916;257;0;7;50;1249;12134
"421935 VITOR MEIRELES";0;308;98;0;0;0;0;59;465
"421940 WITMARSUM";0;0;0;0;0;0;0;0;0
"421950 XANXERE";0;20928;8675;722;0;351;1038;3507;35221
"421960 XAVANTINA";0;0;24;0;0;0;0;68;92
"421970 XAXIM";0;685;531;391;0;56;2;352;2017
"421985 ZORTEA";0;0;0;0;0;0;0;0;0
"422000 BALNEARIO RINCAO";0;0;0;0;0;0;0;0;0
" MUNICIPIO IGNORADO - RS";0;0;0;0;0;0;0;0;0
"430003 ACEGUA";0;110;76;7;0;0;0;101;294
"430005 AGUA SANTA";0;0;0;0;0;0;0;0;0
"430010 AGUDO";0;524;4117;187;0;0;0;552;5380
